TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R		
0.00056	-0.00158268	0.00056	-0.00480361	0.00056	-0.00126059
0.000562	-0.000294312	0.000562	-0.00576989	0.000562	-0.00158268
0.000564	2.78E-05	0.000564	-0.00738035	0.000564	-0.00158268
0.000566	-0.00319315	0.000566	-0.00899081	0.000566	-0.00158268
0.000568	-0.00158268	0.000568	-0.0106013	0.000568	-0.000938497
0.00057	-0.00222687	0.00057	-0.0106013	0.00057	-0.000938497
0.000572	-0.00287105	0.000572	-0.0112455	0.000572	-0.000938497
0.000574	-0.00126059	0.000574	-0.0112455	0.000574	-0.000938497
0.000576	-0.00222687	0.000576	-0.0106013	0.000576	-0.000616404
0.000578	-0.00287105	0.000578	-0.0102792	0.000578	-0.000294312
0.00058	-0.000616404	0.00058	-0.00899081	0.00058	-0.000616404
0.000582	-0.00383733	0.000582	-0.00802454	0.000582	-0.000294312
0.000584	-0.00254896	0.000584	-0.00641407	0.000584	2.78E-05
0.000586	-0.00287105	0.000586	-0.0051257	0.000586	2.78E-05
0.000588	-0.00190477	0.000588	-0.00351524	0.000588	2.78E-05
0.00059	-0.00319315	0.00059	-0.00190477	0.00059	0.000349874
0.000592	-0.00448152	0.000592	-0.000938497	0.000592	2.78E-05
0.000594	-0.000294312	0.000594	0.000994059	0.000594	-0.00126059
0.000596	-0.000294312	0.000596	0.00163824	0.000596	-0.000938497
0.000598	2.78E-05	0.000598	0.00324871	0.000598	-0.000294312
0.0006	-0.000294312	0.0006	0.00292662	0.0006	-0.000294312
0.000602	-0.00222687	0.000602	0.00389289	0.000602	-0.000616404
0.000604	-0.000938497	0.000604	0.00421499	0.000604	-0.00126059
0.000606	0.00131615	0.000606	0.0035708	0.000606	-0.000616404
0.000608	-0.00126059	0.000608	0.00389289	0.000608	-0.000616404
0.00061	-0.00126059	0.00061	0.0035708	0.00061	-0.00126059
0.000612	-0.000616404	0.000612	0.00260452	0.000612	-0.00158268
0.000614	-0.000294312	0.000614	0.00196034	0.000614	-0.000938497
0.000616	-0.000938497	0.000616	0.000349874	0.000616	-0.000938497
0.000618	-0.00415942	0.000618	-0.000294312	0.000618	-0.00158268
0.00062	-0.000294312	0.00062	-0.000938497	0.00062	-0.000938497
0.000622	0.000671966	0.000622	-0.00287105	0.000622	-0.00158268
0.000624	-0.00287105	0.000624	-0.00287105	0.000624	-0.000938497
0.000626	-0.00158268	0.000626	-0.00415942	0.000626	-0.00158268
0.000628	-0.00158268	0.000628	-0.00448152	0.000628	-0.00126059
0.00063	-0.00287105	0.00063	-0.00641407	0.00063	-0.00126059
0.000632	-0.000616404	0.000632	-0.00609198	0.000632	-0.00158268
0.000634	-0.00222687	0.000634	-0.00673617	0.000634	-0.000938497
0.000636	-0.00158268	0.000636	-0.00641407	0.000636	-0.000294312
0.000638	-0.00158268	0.000638	-0.00705826	0.000638	-0.000616404
0.00064	-0.00190477	0.00064	-0.00609198	0.00064	-0.000938497
0.000642	2.78E-05	0.000642	-0.00544779	0.000642	-0.000294312
0.000644	0.000671966	0.000644	-0.00544779	0.000644	2.78E-05
0.000646	-0.00287105	0.000646	-0.0051257	0.000646	-0.000294312
0.000648	-0.000294312	0.000648	-0.00415942	0.000648	-0.000294312
0.00065	-0.00126059	0.00065	-0.00351524	0.00065	-0.000294312
0.000652	-0.00222687	0.000652	-0.00351524	0.000652	2.78E-05
0.000654	2.78E-05	0.000654	-0.00222687	0.000654	-0.000294312
0.000656	-0.00480361	0.000656	-0.00190477	0.000656	-0.000294312
0.000658	-0.00287105	0.000658	-0.00126059	0.000658	-0.000616404
0.00066	2.78E-05	0.00066	-0.000938497	0.00066	-0.000294312
0.000662	-0.00158268	0.000662	-0.000294312	0.000662	0.000349874
0.000664	-0.00126059	0.000664	-0.000616404	0.000664	-0.000294312
0.000666	-0.00254896	0.000666	0.000349874	0.000666	-0.000616404
0.000668	-0.000616404	0.000668	2.78E-05	0.000668	2.78E-05
0.00067	-0.000294312	0.00067	0.000349874	0.00067	-0.000616404
0.000672	-0.000938497	0.000672	-0.000616404	0.000672	-0.000938497
0.000674	-0.00158268	0.000674	-0.000616404	0.000674	-0.000616404
0.000676	-0.00190477	0.000676	-0.000938497	0.000676	-0.000294312
0.000678	2.78E-05	0.000678	-0.000938497	0.000678	-0.000616404
0.00068	-0.00126059	0.00068	-0.00158268	0.00068	-0.000616404
0.000682	-0.00222687	0.000682	-0.00222687	0.000682	-0.000294312
0.000684	-0.000616404	0.000684	-0.00222687	0.000684	-0.000938497
0.000686	-0.00222687	0.000686	-0.00254896	0.000686	-0.00126059
0.000688	-0.000616404	0.000688	-0.00287105	0.000688	-0.000616404
0.00069	-0.00287105	0.00069	-0.00319315	0.00069	-0.000938497
0.000692	-0.00254896	0.000692	-0.00287105	0.000692	-0.000938497
0.000694	-0.00319315	0.000694	-0.00351524	0.000694	-0.00126059
0.000696	-0.00383733	0.000696	-0.00448152	0.000696	2.78E-05
0.000698	-0.00158268	0.000698	-0.00415942	0.000698	2.78E-05
0.0007	-0.00287105	0.0007	-0.00415942	0.0007	-0.000616404
0.000702	-0.00126059	0.000702	-0.00415942	0.000702	-0.000616404
0.000704	-0.000294312	0.000704	-0.00415942	0.000704	-0.000294312
0.000706	-0.00126059	0.000706	-0.00383733	0.000706	-0.000616404
0.000708	-0.00222687	0.000708	-0.00383733	0.000708	-0.000938497
0.00071	-0.00480361	0.00071	-0.00351524	0.00071	-0.000938497
0.000712	0.00131615	0.000712	-0.00319315	0.000712	-0.000294312
0.000714	-0.00287105	0.000714	-0.00254896	0.000714	-0.000616404
0.000716	0.000349874	0.000716	-0.00222687	0.000716	-0.000294312
0.000718	-0.000938497	0.000718	-0.00222687	0.000718	2.78E-05
0.00072	-0.00351524	0.00072	-0.00190477	0.00072	2.78E-05
0.000722	-0.00126059	0.000722	-0.00158268	0.000722	-0.000616404
0.000724	-0.00126059	0.000724	-0.00126059	0.000724	-0.000294312
0.000726	-0.00222687	0.000726	-0.000938497	0.000726	-0.000294312
0.000728	-0.00415942	0.000728	-0.000938497	0.000728	-0.000294312
0.00073	-0.00158268	0.00073	-0.000294312	0.00073	-0.000294312
0.000732	-0.000938497	0.000732	2.78E-05	0.000732	-0.000616404
0.000734	-0.00190477	0.000734	-0.000294312	0.000734	-0.000294312
0.000736	-0.00158268	0.000736	-0.000938497	0.000736	-0.000616404
0.000738	-0.000616404	0.000738	-0.00126059	0.000738	-0.00126059
0.00074	-0.00126059	0.00074	-0.000938497	0.00074	-0.00126059
0.000742	-0.000294312	0.000742	-0.00126059	0.000742	-0.000938497
0.000744	-0.00319315	0.000744	-0.00190477	0.000744	-0.000616404
0.000746	-0.000616404	0.000746	-0.00190477	0.000746	-0.000938497
0.000748	-0.00319315	0.000748	-0.00254896	0.000748	-0.000294312
0.00075	-0.00222687	0.00075	-0.00287105	0.00075	-0.000938497
0.000752	-0.00190477	0.000752	-0.00254896	0.000752	-0.000938497
0.000754	-0.00158268	0.000754	-0.00351524	0.000754	-0.000938497
0.000756	-0.000616404	0.000756	-0.00351524	0.000756	-0.000616404
